root_program,program,model,part,line,code,message,catalog_program,catalog_model,reason,condition,source_line,returning_programs
BTSAPA0012,BTSAPA0012,BTV4Liabilities2,Procedure,56,500,,,,root_program,root program,&errorCode = 500,"BTBRM00011, BTGCL00200, BTSAPA0012, BTSAW00016, BTTEA00013"
BTSAPA0012,BTCUA00001,BTV4Core3,ProcedureSource,55,60001,No existe la moneda ingresada,BTERACUES,BTV4Core3,when_none,when none,&errId = 60001,"BTCUA00001, BTRTA00017"
BTSAPA0012,BTCUA00000,BTV4Core3,ProcedureSource,130,60101,No se puedo resolver cotizacion/arbitraje para la moneda indicada,BTERACUES,BTV4Core3,"invalid_params:&cyopendate,&exchangerate.codigopizarra,&exchangerate.fecha",&exchangeRate.CodigoPizarra = &CUExchRtId and &exchangeRate.Fecha <= &CYOpenDate,&errId = 60101,BTCUA00000
BTSAPA0012,BTCUA00000,BTV4Core3,ProcedureSource,404,60102,No existe la moneda a consultar la pizarra,BTERACUES,BTV4Core3,when_none,when none,&errId = 60102,BTCUA00000
BTSAPA0012,BTACA00022,BTV4Core3,ProcedureSource,15,90002,No existe el registro,BTERAACES,BTV4Core3,when_none,when none,&errId = 90002,BTACA00022
BTSAPA0012,BTACA00006,BTV4Core3,ProcedureSource,76,90031,El código contable no existe,BTERAACES,BTV4Core3,when_none,when none,&errId = 90031,BTACA00006
BTSAPA0012,BTACA00005,BTV4Core3,ProcedureSource,38,90050,No existe el concepto ingresado,BTERAACES,BTV4Core3,when_none,when none,&errId = 90050,BTACA00005
BTSAPA0012,BTACA00007,BTV4Core3,ProcedureSource,48,90072,No existe la relación para el código contable,BTERAACES,BTV4Core3,when_none,when none,&errId = 90072,BTACA00007
BTSAPA0012,BTACA00009,BTV4Core3,ProcedureSource,50,90101,El módulo ingresado no existe,BTERAACES,BTV4Core3,when_none,when none,&errId = 90101,BTACA00009
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,74,100001,Debe ingresar la empresa,BTERATEEES,BTV4Core3,invalid_params:&cycmpyid,&CYCmpyId <= 0,&errId = 100001,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,80,100002,Empresa incorrecta,BTERATEEES,BTV4Core3,invalid_params:&cycmpyid,&CYCmpyId <= 0 AND &CYCmpyId <> &defaultParams.Empresa.Codigo,&errId = 100002,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,110,100003,Debe ingresar la sucursal,BTERATEEES,BTV4Core3,invalid_params:&brbranchid,&BRBranchId <= 0,&errId = 100003,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,127,100005,Debe ingresar el módulo,BTERATEDES,BTV4Core3,invalid_params:&tetrnmodid,&TETrnModId <= 0,&errId = 100005,BTTE000000
BTSAPA0012,BTTEA00002,BTV4Core3,ProcedureSource,40,100006,No existe el módulo ingresado,BTERATEDES,BTV4Core3,when_none,when none,&errId  	 = 100006,BTTEA00002
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,139,100007,Debe ingresar la transacción,BTERATEDES,BTV4Core3,invalid_params:&tetrnid,&TETrnId <= 0,&errId = 100007,BTTE000000
BTSAPA0012,BTTEA00001,BTV4Core3,ProcedureSource,53,100008,No existe la transacción ingresada,BTERATEDES,BTV4Core3,when_none,when none,&errId  	 = 100008,BTTEA00001
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,231,100010,Debe ingresar la fecha valor contable,BTERATEEES,BTV4Core3,invalid_params:&itfvc,&Itfvc = nullvalue(&Itfvc),&errId = 100010,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,257,100011,La fecha valor contable no puede ser mayor que la fecha de apertura,BTERATEEES,BTV4Core3,invalid_params:&itfvc,&Itfvc = nullvalue(&Itfvc) AND &Itfvc = &CYOpenDate AND &Itfvc > &CYOpenDate,&errId = 100011,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,170,100012,Debe ingresar el usuario,BTERATEEES,BTV4Core3,invalid_params:&scuserid,&SCUserId = '',&errId = 100012,BTTE000000
BTSAPA0012,BTTE000000,BTV4Core3,ProcedureSource,177,100013,No existe el usuario ingresado,BTERATEEES,BTV4Core3,invalid_params:&scuserid,&SCUserId = '',&errId = 100013,BTTE000000
